,time[sec],TSP[m],TSP[m/cluster]
10,3.04331,333654,33365
11,2.32523,342076,31097
12,2.05526,332959,27746
13,2.18792,301433,23187
14,2.00735,301447,21531
15,2.02951,265002,17666
16,1.8932,265573,16598
17,1.70524,270645,15920
18,1.50228,260165,14453
19,1.38936,270648,14244
20,1.40554,239662,11983
21,1.36427,240873,11470
22,1.25671,241307,10968
23,1.1248,233130,10136
24,1.27659,231640,9651
25,1.07295,244674,9786
26,1.06297,243754,9375
27,1.11288,234316,8678
28,0.99215,234752,8384
29,1.00861,213186,7351
30,0.84134,233012,7767
31,2.11576,218903,7061
32,2.04522,224400,7012
33,2.18285,223633,6776
34,1.84212,213140,6268
35,1.66512,213295,6094
36,1.71158,214947,5970
37,1.55863,210018,5676
38,1.45881,210062,5527
